"Personalnummer";"Vorname";"Nachname";"BenutzerTyp";"Klassen";"SamAccountName"
"S30001";"Sebastian";"Schuster";"Schueler";"8a";"sschuster"
"S30002";"Hellmuth";"Graf";"Schueler";"8a";"hgraf"
"S30031";"Laura-Isolde";"Schmiedecke";"Schueler";"8b";"lschmiedecke"
"S30032";"Sebastian";"Schuster";"Schueler";"8b";"seschuster"
"S30251";"Wenke";"Hölzenbecher";"Schueler";"9a";"whoelzenbecher"
"S30252";"Irmhild";"Anders";"Schueler";"9a";"ianders"
"S30281";"Pirmin";"Kitzmann";"Schueler";"9b";"pkitzmann"
"S30282";"Moritz Thomas";"Städelmann";"Schueler";"9b";"mstaedelmann"
"L20001";"Tanja";"Hörle";"Lehrkraefte";"8a";"thoerle"
"L20002";"Janine";"Lübs-Schmitt";"Lehrkraefte";"8b";"jluebsschmitt"
"L20003";"Edmund";"Trapp";"Lehrkraefte";"9a";"etrapp"
"L20004";"Sigmar Thoralf";"Bruder";"Lehrkraefte";"9b";"sbruder"
"L20005";"Juan";"Lange";"Lehrkraefte";"8a|8b|9a|9b";"jlange"
"V10001";"Traudl";"Bruder";"Verwaltung";"";"tbruder"
"V10002";"Dimitrios";"Schaaf";"Verwaltung";"";"dschaaf"
"IT1000";"Gerhardt";"Fuchs";"IT";"";"gfuchs"
